HDUS_975.84;!No match on title database!
SC4_OFF.ELF;!No match on title database!
SCES_503.61;Jak and Daxter - The Precursor Legacy
SCES_504.09;MotoGP 2
SCES_507.60;Ico
SCES_508.78;Tekken 4
SCES_509.16;Ratchet & Clank
SCES_509.17;Sly Racoon
SCES_509.59;Disney's Stitch - Experiment 626
SCES_509.82;Moto GP 3
SCES_511.64;Mark of Kri, The
SCES_514.28;Shinobi
SCES_516.08;Jak & Daxter 2 - Renegade
SCES_525.29;Sly Racoon 2 - Band of Thieves
SCES_525.86;Death by Degrees
SCES_528.92;Moto GP 4
SCES_532.02;Tekken 5
SCES_534.09;Sly 3
SCES_538.51;Forbidden Siren 2
SCPS_150.87;Bleach - Erabareshi Tamashi
SCPS_151.16;Bleach - Blade Battles
SCPS_151.19;Bleach - Blade Battles 2nd
SCUS_971.01;Twisted Metal - Black
SCUS_971.04;ATV Off-Road Fury
SCUS_971.08;Cool Boarders 2001
SCUS_971.11;Dark Cloud
SCUS_971.12;Extermination
SCUS_971.24;Jak and Daxter - The Precursor Legacy
SCUS_971.25;Frequency
SCUS_971.28;Drakan - The Ancients' Gates
SCUS_971.29;Okage - Shadow King
SCUS_971.32;Kinetica
SCUS_971.40;Mark of Kri, The
SCUS_971.46;Disney's Treasure Planet
SCUS_971.67;PaRappa the Rapper 2
SCUS_971.77;Downhill Domination
SCUS_971.97;War of the Monsters
SCUS_971.98;Sly Cooper and the Thievius Raccoonus
SCUS_971.99;Ratchet & Clank
SCUS_972.03;Wild ARMs 3
SCUS_972.11;ATV Off-Road Fury 2
SCUS_972.13;Dark Cloud 2
SCUS_972.31;Arc the Lad - Twighlight of the Spirits
SCUS_972.58;Amplitude
SCUS_972.64;Syphon Filter - The Omega Strain
SCUS_972.65;Jak II
SCUS_972.68;Ratchet & Clank - Going Commando
SCUS_972.75;SOCOM II - U.S. Navy SEALs
SCUS_973.16;Sly 2 - Band of Thieves
SCUS_973.30;Jak 3
SCUS_973.53;Ratchet and Clank - Up Your Arsenal
SCUS_973.55;Siren
SCUS_973.62;Syphon Filter - Dark Mirror
SCUS_973.99;God of War
SCUS_974.16;Rise of the Kasai
SCUS_974.64;Sly 3 - Honor Amongst Thieves
SCUS_974.65;Ratchet - Deadlocked
SCUS_974.71;Genji - Dawn of the Samurai
SCUS_974.81;God of War II
SCUS_974.90;Rogue Galaxy
SCUS_976.21;Twisted Metal - Head-On [Extra Twisted Edition]
SLES_500.44;Rayman Revolution
SLES_500.72;Street Fighter EX3
SLES_501.09;7 Blades
SLES_501.83;Wacky Races
SLES_501.85;Alone in the Dark 4
SLES_502.01;Evil Twin - Cyprien's Chronicles
SLES_502.10;XG3 - Extreme-G Racing
SLES_502.11;Gauntlet - Dark Legacy
SLES_502.68;SpyHunter
SLES_503.30;Grand Theft Auto III
SLES_503.35;Rune - Viking Warlord
SLES_503.66;Star Wars - Racer Revenge
SLES_504.86;Splashdown
SLES_504.87;Space Race
SLES_505.41;Capcom vs SNK 2 - Mark of the Millennium
SLES_506.39;Everblue
SLES_507.03;Maximo
SLES_507.54;Simpsons Skateboarding
SLES_508.12;Spider-Man
SLES_508.80;BMX XXX
SLES_509.06;Master Rally
SLES_509.19;Akira Psycho Ball
SLES_509.35;Circus Maximus - Chariot Wars
SLES_509.87;Scorpion King, The - Rise of an Akkadian
SLES_510.11;Knight Rider - The Game
