ID	LINK
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_2AF8719D.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_31603A01.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_35610B70.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_AA75FE6A.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_BD27FC43.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_CC0DF99A.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_CE3B7939.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_D79F697A.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_EE68CA13.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_F66528FF.pnach
PBPX_952.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95201_F7D86DD0.pnach
PBPX_955.06	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/PBPX-95506_7ACF7E03.pnach
SCAJ_200.16	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCAJ-20016_07E0108A.pnach
SCAJ_201.44	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCAJ-20144_3EEB02D9.pnach
SCAJ_300.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCAJ-30001_A3D63039.pnach
SCES_505.99	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCES-50599_F5B07CC0.pnach
SCES_532.85	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCES-53285_D697D204.pnach
SCKA_200.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCKA-20001_85172335.pnach
SCKA_200.04	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCKA-20004_71017DE1.pnach
SCKA_200.19	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SCKA-20019_47C2C34A.pnach
