game count 912
﻿Syphon Filter - Logan's Shadow 	 HDUS_975.84
﻿Splinter Cell - Double Agent 	 SC4_OFF.ELF
Tekken Tag Tournament 	 SCES_500.01
Formula One 2001 	 SCES_500.04
Drakan - The Ancients' Gates 	 SCES_500.06
Sky Odyssey 	 SCES_501.05
Gran Turismo 3 - A-Spec 	 SCES_502.94
Klonoa 2 - Lunatea's Veil 	 SCES_503.54
Twisted Metal - Black 	 SCES_503.60
﻿Jak and Daxter: The Precursor Legacy 	 SCES_503.61
﻿MotoGP 2 	 SCES_504.09
Final Fantasy X 	 SCES_504.90
Final Fantasy X 	 SCES_504.92
Rez 	 SCES_505.01
﻿ICO 	 SCES_507.60
Frequency 	 SCES_507.91
﻿Tekken 4 	 SCES_508.78
﻿Ratchet & Clank 	 SCES_509.16
﻿Sly Raccoon 	 SCES_509.17
﻿Disney's Stitch: Experiment 626 	 SCES_509.59
Kingdom Hearts 	 SCES-509.69
﻿MotoGP 3 	 SCES_509.82
﻿The Mark of Kri 	 SCES_511.64
Dark Chronicle 	 SCES_511.90
﻿Shinobi 	 SCES_514.28
Ratchet & Clank 2 	 SCES_516.07
﻿Jak II: Renegade 	 SCES_516.08
Amplitude 	 SCES_517.06
Time Crisis 3 	 SCES_518.44
SOCOM II - U.S. Navy SEALs 	 SCES_519.04
Ace Combat 5 - Squadron Leader 	 SCES_524.24
Ratchet & Clank 3 	 SCES_524.56
﻿Sly 2: Band of Thieves 	 SCES_525.29
﻿Death by Degrees 	 SCES_525.86
﻿MotoGP 4 	 SCES_528.92
﻿Tekken 5 	 SCES_532.02
﻿Sly 3: Honor Among Thieves 	 SCES_534.09
﻿Forbidden Siren 2 	 SCES_538.51
God Of War 2 	 SCES_542.06
Rogue Galaxy 	 SCES_545.52
﻿Bleach: Erabareshi Tamashii 	 SCPS_150.87
﻿Bleach: Blade Battlers 	 SCPS_151.16
﻿Bleach: Blade Battlers 2nd 	 SCPS_151.19
﻿Twisted Metal - Black 	 SCUS_971.01
